candidate,symbol,split,scenario,name,sweep_window,volume_multiplier,trend_filter,cisd_atr_multiplier,target_r,max_bars_in_trade,stop_atr_multiplier,initial_capital,final_equity,net_return,buy_hold_return,excess_vs_buy_hold,cagr,max_drawdown,sharpe_hourly_annualized,trades,win_rate,profit_factor,expectancy_usdt,average_holding_bars,start,end
ema_s12,SOLUSDT,development,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9904.300663576163,-0.009569933642383677,-0.1417683847807082,0.1321984511383245,-0.0038439217366447176,-0.08638078885761757,-0.03423330539522349,62,0.4032258064516129,0.9739374579623026,-1.5435376842554345,22.370967741935484,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s12,SOLUSDT,validation,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9843.291947557958,-0.015670805244204167,-0.15291060968365033,0.13723980443944617,-0.02083807553261774,-0.04746670935105568,-0.27791413464015574,23,0.391304347826087,0.8873664003490522,-6.813393584436594,18.130434782608695,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s12,SOLUSDT,validation,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9749.522806173209,-0.025047719382679134,-0.15460310165908087,0.12955538227640173,-0.033254268819568944,-0.050810754381195644,-0.4656179006065008,23,0.391304347826087,0.8272029356313781,-10.890312775077884,19.0,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s12,SOLUSDT,oos,base,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,9367.517421190303,-0.06324825788096966,-0.4164759555846099,0.35322769770364026,-0.04782546803531784,-0.10558196510262075,-0.8175664132643606,28,0.2857142857142857,0.666942640222149,-22.588663528917746,19.714285714285715,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s12,SOLUSDT,oos,stress,ema_s12,12,0.0,ema,1.0,2.0,48,0.25,10000.0,8983.164131869775,-0.10168358681302248,-0.41764184170469787,0.3159582548916754,-0.0772819580848475,-0.13688892436706235,-1.3478698964634226,28,0.25,0.5003432217073083,-36.315566718936616,20.857142857142858,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
ema_s24,BTCUSDT,development,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9180.581748749404,-0.08194182512505954,0.3544061471471174,-0.4363479722721769,-0.033661949097015254,-0.1452998302540418,-0.7836431024883317,41,0.34146341463414637,0.6371344387662169,-19.985811006112094,23.926829268292682,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s24,BTCUSDT,development,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,8859.320229070585,-0.11406797709294147,0.35170003187554744,-0.4657680089684889,-0.04735028084591131,-0.16516888678279684,-1.086943225531798,41,0.34146341463414637,0.5324079675828476,-27.82145782754671,24.48780487804878,2022-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00
ema_s24,BTCUSDT,validation,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,10012.818695852078,0.0012818695852079287,0.31139966866821855,-0.3101177990830106,0.0017093943833219605,-0.05914642593616948,0.058512917722015036,16,0.375,1.0133159409384365,0.8011684907548897,18.625,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s24,BTCUSDT,validation,stress,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,9771.020142294465,-0.022897985770553575,0.3087794807150037,-0.3316774664855573,-0.03041125674492895,-0.07629779145944005,-0.5186328894167991,16,0.375,0.7763975919966737,-14.311241106595958,21.375,2024-07-01T00:00:00+00:00,2025-03-31T23:00:00+00:00
ema_s24,BTCUSDT,oos,base,ema_s24,24,0.0,ema,1.0,2.0,48,0.25,10000.0,10239.313993298923,0.02393139932989241,-0.24031447472024936,0.26424587405014177,0.017896930887755014,-0.06984930295546465,0.3992158513905333,28,0.4642857142857143,1.2114608798806208,8.546928332104406,26.392857142857142,2025-04-01T00:00:00+00:00,2026-07-31T23:00:00+00:00
